z,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc
0.1075,465.7699354126587,465.7699354126587,420.55976109495145,515.8402034695195
0.10875,471.03828245892004,471.03828245892004,424.8372333338625,522.2636956763275
0.11,476.30319690288184,476.30319690288184,429.1019791917854,528.6965485621989
0.11125,481.5646777222113,481.5646777222113,433.3540406949033,535.1387481188074
0.1125,486.8227239093548,486.8227239093548,437.59345969380206,541.5902803491573
0.11375,492.07733447151224,492.07733447151224,441.82027786443297,548.0511312676468
0.115,497.3285084306111,497.3285084306111,446.0345367090683,554.5212869001314
0.11625,502.5762448232804,502.5762448232804,450.23627755725005,561.0007332839867
0.1175,507.8205427008242,507.8205427008242,454.4255415667331,567.489456468171
0.11875,513.0614011291957,513.0614011291957,458.6023697244208,573.9874425132876
0.12,518.2988191889704,518.2988191889704,462.7668028472949,580.4946774916468
0.12125,523.5327959753189,523.5327959753189,466.918881583339,587.0111474873263
0.1225,528.7633305979807,528.7633305979807,471.05864641245495,593.5368385962335
0.12375,533.990422181237,533.990422181237,475.18613764737444,600.0717369261652
0.125,539.2140698638831,539.2140698638831,479.3013954345627,606.6158285968685
0.12625,544.434272799201,544.434272799201,483.40445975511744,613.1690997401001
0.1275,549.6510301549328,549.6510301549328,487.495370425661,619.7315364996867
0.12875,554.8643411132513,554.8643411132513,491.574167099226,626.3031250315823
0.13,560.074204870734,560.074204870734,495.6408892661363,632.8838515039292
0.13125,565.2806206383337,565.2806206383337,499.6955762548806,639.4737020971152
0.1325,570.483587641351,570.483587641351,503.73826723298106,646.0726630038301
0.13375,575.683105119406,575.683105119406,507.76900120785535,652.6807204291266
0.135,580.8791723264093,580.8791723264093,511.7878170276734,659.2978605904746
0.13625,586.0717885305341,586.0717885305341,515.7947533822082,665.9240697178194
0.1375,591.2609530141871,591.2609530141871,519.7898488036809,672.5593340536377
0.13875,596.4466650739791,596.4466650739791,523.7731416675997,679.2036398529937
0.14,601.6289240206972,601.6289240206972,527.7446701935941,685.856973383595
0.14125,606.8077291792746,606.8077291792746,531.7044724462429,692.5193209258471
0.1425,611.9830798887616,611.9830798887616,535.6525863358963,699.1906687729102
0.14375,617.1549755022959,617.1549755022959,539.5890496194936,705.871003230751
0.145,622.3234153870734,622.3234153870734,543.5138999013741,712.560310618199
0.14625,627.4883989243183,627.4883989243183,547.4271746340836,719.2585772669999
0.1475,632.6499255092532,632.6499255092532,551.3289111191749,725.9657895218679
0.14875,637.8079945510688,637.8079945510688,555.2191465080033,732.6819337405402
0.15,642.9626054728944,642.9626054728944,559.0979178025169,739.4069962938285
0.15125,648.1137577117672,648.1137577117672,562.9652618560409,746.140963565672
0.1525,653.261450718602,653.261450718602,566.821215374058,752.8838219531888
0.15375,658.4056839581604,658.4056839581604,570.6658149149819,759.6355578667276
0.155,663.546456909021,663.546456909021,574.4990968909273,766.3961577299192
0.15625,668.6837690635475,668.6837690635475,578.3210975684735,773.1656079797268
0.1575,673.8176199278588,673.8176199278588,582.1318530694244,779.9438950664965
0.15875,678.948009021797,678.948009021797,585.9313993715616,786.7310054540072
0.16,684.0749358788975,684.0749358788975,589.7197723093944,793.5269256195211
0.16125,689.1984000463564,689.1984000463564,593.4970075749033,800.3316420538313
0.1625,694.3184010849999,694.3184010849999,597.2631407182795,807.1451412613125
0.16375,699.4349385692528,699.4349385692528,601.0182071486597,813.967409759968
0.165,704.5480120871069,704.5480120871069,604.7622421348557,820.7984340814796
0.16625,709.6576212400887,709.6576212400887,608.4952808060782,827.6382007712534
0.1675,714.7637656432285,714.7637656432285,612.2173581526582,834.4866963884691
0.16875,719.8664449250273,719.8664449250273,615.9285090267614,841.3439075061258
0.17,724.9656587274259,724.9656587274259,619.628768143099,848.2098207110881
0.17125,730.0614067057721,730.0614067057721,623.3181700796346,855.0844226041356
0.1725,735.1536885287885,735.1536885287885,626.9967492782845,861.9676998000044
0.17375,740.2425038785403,740.2425038785403,630.6645400456148,868.8596389274369
0.175,745.3278524504027,745.3278524504027,634.3215765535342,875.7602266292233
0.17625,750.409733953028,750.409733953028,637.9678928399812,882.6694495622492
0.1775,755.4881481083132,755.4881481083132,641.6035228096079,889.5872943975389
0.17875,760.5630946513677,760.5630946513677,645.2285002344582,896.5137478202995
0.18,765.6345733304797,765.6345733304797,648.8428587546439,903.4487965299661
0.18125,770.7025839070834,770.7025839070834,652.4466318790124,910.3924272402421
0.1825,775.7671261557259,775.7671261557259,656.0398529858147,917.3446266791461
0.18375,780.8281998640341,780.8281998640341,659.6225553233656,924.3053815890504
0.185,785.8858048326817,785.8858048326817,663.1947720107019,931.2746787267279
0.18625,790.9399408753554,790.9399408753554,666.7565360382342,938.2525048633903
0.1875,795.9906078187214,795.9906078187214,670.307880268397,945.2388467847317
0.18875,801.0378055023924,801.0378055023924,673.8488374362922,952.233691290969
0.19,806.0815337788936,806.0815337788936,677.3794401503308,959.2370251968833
0.19125,811.1217925136286,811.1217925136286,680.8997208928678,966.2488353318602
0.1925,816.1585815848467,816.1585815848467,684.4097120208359,973.2691085399297
0.19375,821.1919008836076,821.1919008836076,687.9094457663728,980.2978316798066
0.195,826.2217503137487,826.2217503137487,691.3989542374466,987.3349916249297
0.19625,831.2481297918499,831.2481297918499,694.8782694184744,994.3805752635005
0.1975,836.2710392472009,836.2710392472009,698.3474231709401,1001.4345694985229
0.19875,841.2904786217653,841.2904786217653,701.8064472340064,1008.496961247841
0.2,846.3064478701475,846.3064478701475,705.255373225123,1015.567737444177
0.20125,851.3189469595582,851.3189469595582,708.6942326406312,1022.6468850351692
0.2025,856.327975869779,856.327975869779,712.123056856365,1029.7343909834094
0.20375,861.3335345931293,861.3335345931293,715.5418771282488,1036.8302422664792
0.205,866.3356231344308,866.3356231344308,718.9507245928886,1043.934425876989
0.20625,871.3342415109728,871.3342415109728,722.349630268164,1051.0469288226109
0.2075,876.3293897524779,876.3293897524779,725.7386250538119,1058.167738126117
0.20875,881.3210679010671,881.3210679010671,729.11773973201,1065.2968408254148
0.21,886.3092760112243,886.3092760112243,732.4870049679539,1072.4342239735813
0.21125,891.2940141497622,891.2940141497622,735.8464513104333,1079.5798746388996
0.2125,896.2752823957871,896.2752823957871,739.1961091924019,1086.733779904892
0.21375,901.2530808406633,901.2530808406633,742.5360089315454,1093.8959268703554
0.215,906.2274095879786,906.2274095879786,745.8661807308465,1101.066302649394
0.21625,911.1982687535085,911.1982687535085,749.1866546791437,1108.2448943714548
0.2175,916.1656584651817,916.1656584651817,752.4974607516892,1115.4316891813587
0.21875,921.129578863044,921.129578863044,755.7986288107028,1122.626674239335
0.22,926.0900300992232,926.0900300992232,759.0901886059207,1129.8298367210523
0.22125,931.0470123378942,931.0470123378942,762.3721697751437,1137.0411638176531
0.2225,936.0005257552424,936.0005257552424,765.6446018447791,1144.2606427357837
0.22375,940.9505705394291,940.9505705394291,768.9075142303814,1151.4882606976262
0.225,945.8971468905554,945.8971468905554,772.160936237188,1158.7240049409306
0.22625,950.8402550206268,950.8402550206268,775.4048970606539,1165.9678627190438
0.2275,955.7798951535175,955.7798951535175,778.6394257869796,1173.2198213009426
0.22875,960.7160675249343,960.7160675249343,781.8645513936393,1180.479867971263
0.23,965.648772382381,965.648772382381,785.0803027499032,1187.7479900303285
0.23125,970.5780099851228,970.5780099851228,788.2867086173586,1195.0241747941823
0.2325,975.5037806041497,975.5037806041497,791.4837976504258,1202.3084095946144
0.23375,980.4260845221415,980.4260845221415,794.6715983968725,1209.6006817791922
0.235,985.3449220334311,985.3449220334311,797.8501392983248,1216.9009787112873
0.23625,990.2602934439685,990.2602934439685,801.0194486907733,1224.2092877701061
0.2375,995.172199071285,995.172199071285,804.1795548050787,1231.5255963507152
0.23875,1000.0806392444568,1000.0806392444568,807.3304857674727,1238.849891864071
0.24,1004.9856143040691,1004.9856143040691,810.4722696000558,1246.1821617370458
0.24125,1009.8871246021798,1009.8871246021798,813.604934221293,1253.5223934124558
0.2425,1014.7851705022831,1014.7851705022831,816.7285074465055,1260.8705743490866
0.24375,1019.6797523792733,1019.6797523792733,819.8430169883604,1268.226692021721
0.245,1024.5708706194087,1024.5708706194087,822.9484904573562,1275.5907339211637
0.24625,1029.4585256202747,1029.4585256202747,826.0449553623066,1282.9626875542674
0.2475,1034.3427177907483,1034.3427177907483,829.1324391108203,1290.3425404439586
0.24875,1039.2234475509608,1039.2234475509608,832.2109690097784,1297.7302801292624
0.25,1044.1007153322616,1044.1007153322616,835.2805722658093,1305.125894165327
0.25125,1048.9745215771823,1048.9745215771823,838.34127598576,1312.529370123449
0.2525,1053.844866739399,1053.844866739399,841.393107177165,1319.9406955910974
0.25375,1058.7117512836971,1058.7117512836971,844.4360927487116,1327.3598581719352
0.255,1063.5751756859338,1063.5751756859338,847.4702595107043,1334.7868454858467
0.25625,1068.4351404330016,1068.4351404330016,850.4956341755236,1342.2216451689583
0.2575,1073.2916460227923,1073.2916460227923,853.5122433580852,1349.6642448736613
0.25875,1078.1446929641595,1078.1446929641595,856.5201135762935,1357.114632268636
0.26,1082.9942817768829,1082.9942817768829,859.5192712514944,1364.5727950388725
0.26125,1087.8404129916303,1087.8404129916303,862.5097427089239,1372.0387208856937
0.2625,1092.6830871499224,1092.6830871499224,865.4915541781563,1379.5123975267768
0.26375,1097.5223048040948,1097.5223048040948,868.4647317935469,1386.9938126961747
0.265,1102.3580665172622,1102.3580665172622,871.4293015946736,1394.4829541443366
0.26625,1107.1903728632803,1107.1903728632803,874.3852895267763,1401.9798096381287
0.2675,1112.0192244267112,1112.0192244267112,877.3327214411922,1409.4843669608565
0.26875,1116.844621802784,1116.844621802784,880.2716230957903,1416.9966139122823
0.27,1121.6665655973604,1121.6665655973604,883.2020201554019,1424.5165383086478
0.27125,1126.4850564268959,1126.4850564268959,886.1239381922485,1432.0441279826914
0.2725,1131.3000949184038,1131.3000949184038,889.0374026863684,1439.5793707836688
0.27375,1136.1116817094191,1136.1116817094191,891.9424390260406,1447.1222545773726
0.275,1140.91981744796,1140.91981744796,894.839072508204,1454.672767246149
0.27625,1145.7245027924919,1145.7245027924919,897.727328338877,1462.230896688918
0.2775,1150.5257384118913,1150.5257384118913,900.6072316335743,1469.796630821191
0.27875,1155.3235249854067,1155.3235249854067,903.4788074177178,1477.3699575750888
0.28,1160.1178632026244,1160.1178632026244,906.3420806270503,1484.9508648993594
0.28125,1164.908753763429,1164.908753763429,909.1970761080422,1492.5393407593936
0.2825,1169.696197377969,1169.696197377969,912.0438186182994,1500.1353731372453
0.28375,1174.4801947666172,1174.4801947666172,914.8823328269657,1507.738950031645
0.285,1179.2607466599359,1179.2607466599359,917.7126433151252,1515.3500594580173
0.28625,1184.0378537986394,1184.0378537986394,920.5347745762017,1522.9686894484998
0.2875,1188.8115169335558,1188.8115169335558,923.348751016354,1530.5948280519533
0.28875,1193.5817368255923,1193.5817368255923,926.1545969548728,1538.2284633339823
0.29,1198.3485142456964,1198.3485142456964,928.9523366245708,1545.8695833769484
0.29125,1203.1118499748197,1203.1118499748197,931.741994172174,1553.518176279986
0.2925,1207.8717448038808,1207.8717448038808,934.5235936587086,1561.174230159016
0.29375,1212.6281995337288,1212.6281995337288,937.297159059887,1568.8377331467616
0.295,1217.3812149751052,1217.3812149751052,940.0627142664905,1576.508673392761
0.29625,1222.1307919486085,1222.1307919486085,942.8202830847509,1584.187039063384
0.2975,1226.8769312846564,1226.8769312846564,945.5698892367295,1591.8728183418416
0.29875,1231.619633823449,1231.619633823449,948.3115563606922,1599.5659994282046
0.3,1236.3589004149314,1236.3589004149314,951.0453080114856,1607.2665705394108
0.30125,1241.0947319187583,1241.0947319187583,953.7711676609093,1614.9745199092843
0.3025,1245.8271292042546,1245.8271292042546,956.4891586980841,1622.6898357885414
0.30375,1250.5560931503815,1250.5560931503815,959.1993044298229,1630.4125064448099
0.305,1255.2816246456969,1255.2816246456969,961.9016280809938,1638.1425201626341
0.30625,1260.0037245883204,1260.0037245883204,964.5961527948865,1645.8798652434934
0.3075,1264.7223938858956,1264.7223938858956,967.2829016335721,1653.6245300058088
0.30875,1269.4376334555534,1269.4376334555534,969.9618975782643,1661.3765027849558
0.31,1274.1494442238748,1274.1494442238748,972.6331635296754,1669.1357719332761
0.31125,1278.8578271268552,1278.8578271268552,975.2967223083739,1676.9023258200891
0.3125,1283.5627831098661,1283.5627831098661,977.9525966551361,1684.6761528316993
0.31375,1288.2643131276195,1288.2643131276195,980.6008092312994,1692.4572413714102
0.315,1292.9624181441309,1292.9624181441309,983.2413826191109,1700.245579859532
0.31625,1297.6570991326812,1297.6570991326812,985.874339322075,1708.0411567333913
0.3175,1302.3483570757821,1302.3483570757821,988.4997017652996,1715.8439604473429
0.31875,1307.0361929651383,1307.0361929651383,991.1174922958394,1723.6539794727762
0.32,1311.72060780161,1311.72060780161,993.7277331830378,1731.4712022981253
0.32125,1316.4016025951778,1316.4016025951778,996.3304466188667,1739.2956174288786
0.3225,1321.0791783649051,1321.0791783649051,998.9256547182648,1747.1272133875873
0.32375,1325.753336138901,1325.753336138901,1001.513379519472,1754.9659787138703
0.325,1330.4240769542857,1330.4240769542857,1004.0936429843666,1762.8119019644287
0.32625,1335.0914018571507,1335.0914018571507,1006.6664669987941,1770.664971713046
0.3275,1339.7553119025256,1339.7553119025256,1009.2318733729005,1778.5251765506027
0.32875,1344.4158081543387,1344.4158081543387,1011.7898838414592,1786.3925050850776
0.33,1349.072891685383,1349.072891685383,1014.3405200641977,1794.2669459415595
0.33125,1353.7265635772774,1353.7265635772774,1016.8838036261238,1802.1484877622506
0.3325,1358.3768249204318,1358.3768249204318,1019.4197560378475,1810.0371192064754
0.33375,1363.0236768140096,1363.0236768140096,1021.9483987359023,1817.9328289506855
0.335,1367.6671203658925,1367.6671203658925,1024.4697530830656,1825.8356056884666
0.33625,1372.3071566926428,1372.3071566926428,1026.9838403686756,1833.7454381305436
0.3375,1376.943786919468,1376.943786919468,1029.4906818089482,1841.6623150047885
0.33875,1381.5770121801838,1381.5770121801838,1031.9902985472895,1849.5862250562216
0.34,1386.2068336171787,1386.2068336171787,1034.482711654611,1857.5171570470197
0.34125,1390.8332523813763,1390.8332523813763,1036.9679421296375,1865.4550997565211
0.3425,1395.4562696322005,1395.4562696322005,1039.4460108992182,1873.4000419812292
0.34375,1400.0758865375378,1400.0758865375378,1041.9169388186328,1881.3519725348165
0.345,1404.6921042737033,1404.6921042737033,1044.3807466718984,1889.3108802481308
0.34625,1409.3049240254022,1409.3049240254022,1046.8374551720722,1897.2767539691974
0.3475,1413.9143469856954,1413.9143469856954,1049.2870849615551,1905.2495825632245
0.34875,1418.5203743559623,1418.5203743559623,1051.729656612391,1913.2293549126039
0.35,1423.1230073458655,1423.1230073458655,1054.165190626567,1921.2160599169185
0.35125,1427.7222471733146,1427.7222471733146,1056.5937074363105,1929.2096864929415
0.3525,1432.3180950644298,1432.3180950644298,1059.0152274043844,1937.2102235746415
0.35375,1436.910552253507,1436.910552253507,1061.4297708243819,1945.217660113185
0.355,1441.4996199829804,1441.4996199829804,1063.8373579210188,1953.2319850769386
0.35625,1446.0852995033883,1446.0852995033883,1066.2380088504246,1961.2531874514705
0.3575,1450.6675920733362,1450.6675920733362,1068.6317437004318,1969.2812562395536
0.35875,1455.246498959461,1455.246498959461,1071.0185824908635,1977.3161804611677
0.36,1459.8220214363962,1459.8220214363962,1073.3985451738208,1985.3579491534986
0.36125,1464.3941607867353,1464.3941607867353,1075.7716516339653,1993.4065513709438
0.3625,1468.9629183009965,1468.9629183009965,1078.1379216888047,2001.4619761851077
0.36375,1473.5282952775872,1473.5282952775872,1080.497375088973,2009.5242126848095
0.365,1478.0902930227676,1478.0902930227676,1082.850031518511,2017.5932499760777
0.36625,1482.6489128506173,1482.6489128506173,1085.1959105951453,2025.669077182156
0.3675,1487.2041560829969,1487.2041560829969,1087.5350318705646,2033.7516834434982
0.36875,1491.7560240495152,1491.7560240495152,1089.8674148306961,2041.841057917774
0.37,1496.3045180874917,1496.3045180874917,1092.1930788959792,2049.9371897798637
0.37125,1500.8496395419236,1500.8496395419236,1094.5120434216396,2058.040068221863
0.3725,1505.3913897654475,1505.3913897654475,1096.824327697958,2066.149682453077
0.37375,1509.9297701183073,1509.9297701183073,1099.129950950542,2074.2660217000243
0.375,1514.4647819683162,1514.4647819683162,1101.4289323405935,2082.3890752064344
0.37625,1518.9964266908244,1518.9964266908244,1103.7212909651766,2090.518832233247
0.3775,1523.524705668681,1523.524705668681,1106.0070458574817,2098.655282058608
0.37875,1528.0496202922013,1528.0496202922013,1108.2862159870908,2106.7984139778723
0.38,1532.5711719591307,1532.5711719591307,1110.5588202602396,2114.9482173036
0.38125,1537.0893620746092,1537.0893620746092,1112.824877520079,2123.1046813655544
0.3825,1541.6041920511389,1541.6041920511389,1115.0844065469357,2131.267795510699
0.38375,1546.1156633085457,1546.1156633085457,1117.3374260585695,2139.4375491032
0.385,1550.6237772739473,1550.6237772739473,1119.5839547104313,2147.6139315244172
0.38625,1555.1285353817173,1555.1285353817173,1121.8240110959186,2155.7969321729056
0.3875,1559.6299390734505,1559.6299390734505,1124.057613746631,2163.9865404644124
0.38875,1564.1279897979282,1564.1279897979282,1126.2847811326217,2172.182745831873
0.39,1568.622689011084,1568.622689011084,1128.5055316626504,2180.385537725407
0.39125,1573.114038175969,1573.114038175969,1130.7198836844343,2188.594905612317
0.3925,1577.6020387627175,1577.6020387627175,1132.9278554848959,2196.810838977084
0.39375,1582.086692248512,1582.086692248512,1135.129465290412,2205.0333273213637
0.395,1586.5680001175501,1586.5680001175501,1137.324731267061,2213.2623601639825
0.39625,1591.0459638610082,1591.0459638610082,1139.5136715208653,2221.4979270409326
0.3975,1595.520584977009,1595.520584977009,1141.6963040980388,2229.7400175053704
0.39875,1599.9918649705867,1599.9918649705867,1143.8726469852274,2237.988621127608
0.4,1604.4598053536524,1604.4598053536524,1146.0427181097518,2246.2437274951135
0.40125,1608.924407644961,1608.924407644961,1148.2065353398473,2254.505326212502
0.4025,1613.3856733700763,1613.3856733700763,1150.3641164849028,2262.773406901532
0.40375,1617.8436040613365,1617.8436040613365,1152.5154792956982,2271.047959201101
0.405,1622.2982012578223,1622.2982012578223,1154.6606414646421,2279.3289727672404
0.40625,1626.749466505321,1626.749466505321,1156.799620626006,2287.6164372731073
0.4075,1631.1974013562935,1631.1974013562935,1158.9324343561589,2295.910342408983
0.40875,1635.6420073698414,1635.6420073698414,1161.0591001738005,2304.210677882264
0.41,1640.0832861116714,1640.0832861116714,1163.1796355401925,2312.5174334174567
0.41125,1644.5212391540633,1644.5212391540633,1165.2940578593896,2320.830598756172
0.4125,1648.955868075835,1648.955868075835,1167.4023844784672,2329.150163657117
0.41375,1653.3871744623118,1653.3871744623118,1169.5046326877537,2337.4761178960935
0.415,1657.8151599052887,1657.8151599052887,1171.6008197210522,2345.808451265984
0.41625,1662.239826003001,1662.239826003001,1173.69096275587,2354.14715357675
0.4175,1666.6611743600886,1666.6611743600886,1175.7750789136428,2362.4922146554254
0.41875,1671.0792065875637,1671.0792065875637,1177.853185259957,2370.843624346106
0.42,1675.493924302777,1675.493924302777,1179.9252988047726,2379.2013725099437
0.42125,1679.9053291293856,1679.9053291293856,1181.991436502646,2387.5654490251395
0.4225,1684.3134226973186,1684.3134226973186,1184.051615252948,2395.9358437869355
0.42375,1688.7182066427458,1688.7182066427458,1186.1058519000849,2404.3125467076093
0.425,1693.1196826080425,1693.1196826080425,1188.154163233714,2412.6955477164606
0.42625,1697.5178522417589,1697.5178522417589,1190.1965659889634,2421.0848367598087
0.4275,1701.912717198585,1701.912717198585,1192.2330768466445,2429.48040380098
0.42875,1706.304279139321,1706.304279139321,1194.2637124334706,2437.8822388203052
0.43,1710.6925397308407,1710.6925397308407,1196.2884893222663,2446.290331815102
0.43125,1715.077500646063,1715.077500646063,1198.307424032184,2454.704672799678
0.4325,1719.4591635639156,1719.4591635639156,1200.3205330289113,2463.125251805309
0.43375,1723.837530169305,1723.837530169305,1202.3278327248856,2471.552058880241
0.435,1728.212602153083,1728.212602153083,1204.3293394795003,2479.9850840896743
0.43625,1732.5843812120156,1732.5843812120156,1206.3250695993147,2488.424317515758
0.4375,1736.952869048748,1736.952869048748,1208.3150393382596,2496.869749257575
0.43875,1741.3180673717757,1741.3180673717757,1210.299264897846,2505.321369431142
0.44,1745.6799778954107,1745.6799778954107,1212.2777624273685,2513.779168169391
0.44125,1750.0386023397489,1750.0386023397489,1214.2505480241102,2522.243135622163
0.4425,1754.3939424306395,1754.3939424306395,1216.2176377335456,2530.713261956197
0.44375,1758.7459998996517,1758.7459998996517,1218.1790475495422,2539.189537355122
0.445,1763.0947764840437,1763.0947764840437,1220.134793414563,2547.6719520194433
0.44625,1767.440273926731,1767.440273926731,1222.0848912198658,2556.160496166535
0.4475,1771.7824939762538,1771.7824939762538,1224.029356805702,2564.655160030627
0.44875,1776.1214383867466,1776.1214383867466,1225.9682059615163,2573.1559338627994
0.45,1780.4571089179053,1780.4571089179053,1227.9014544261415,2581.6628079309626
0.45125,1784.7895073349566,1784.7895073349566,1229.8291178879977,2590.1757725198554
0.4525,1789.1186354086262,1789.1186354086262,1231.7512119852847,2598.69481793103
0.45375,1793.4444949151075,1793.4444949151075,1233.667752306179,2607.2199344828373
0.455,1797.7670876360307,1797.7670876360307,1235.5787543890244,2615.7511125104247
