m_GeV,fa_GeV,Gamma_GeV,tau_s,BR_gg,BR_aa,g_agg_GeV^-1,g_agamma_GeV^-1
1e-12,7498942093324.559,3.2399120553006985e-64,2.0315735293589964e+39,0.9999354803146008,6.451968539923757e-05,9.023448209472869e-14,2.0501123165991856e-15
1e-12,10000000000000.0,1.821936438677983e-64,3.612705377239207e+39,0.9999354803146008,6.451968539923758e-05,6.766631560495022e-14,1.537367354698876e-15
1e-12,13335214321633.24,1.024550151338762e-64,6.424399586881381e+39,0.9999354803146008,6.451968539923758e-05,5.0742578239014564e-14,1.1528628769054427e-15
1e-12,17782794100389.227,5.761468898278122e-65,1.1424377507213722e+40,0.9999354803146008,6.451968539923757e-05,3.8051565588036106e-14,8.645251955457473e-16
1e-12,23713737056616.55,3.2399120553006994e-65,2.0315735293589957e+40,0.9999354803146008,6.45196853992376e-05,2.853464869050242e-14,6.48302437961765e-16
1e-12,31622776601683.793,1.821936438677983e-65,3.612705377239207e+40,0.9999354803146008,6.451968539923758e-05,2.139796781834371e-14,4.861582441236412e-16
1e-12,42169650342858.23,1.0245501513387617e-65,6.424399586881384e+40,0.9999354803146007,6.451968539923758e-05,1.6046212158458186e-14,3.6456725208755293e-16
1e-12,56234132519034.91,5.761468898278122e-66,1.142437750721372e+41,0.9999354803146008,6.451968539923758e-05,1.2032961579347844e-14,2.7338687125270166e-16
1e-12,74989420933245.58,3.2399120553006995e-66,2.0315735293589955e+41,0.9999354803146008,6.451968539923757e-05,9.02344820947287e-15,2.0501123165991858e-16
1e-12,100000000000000.0,1.8219364386779828e-66,3.612705377239207e+41,0.9999354803146008,6.451968539923757e-05,6.766631560495022e-15,1.5373673546988757e-16
1e-12,133352143216332.4,1.024550151338762e-66,6.424399586881382e+41,0.9999354803146008,6.451968539923757e-05,5.074257823901456e-15,1.1528628769054425e-16
1e-12,177827941003892.28,5.761468898278122e-67,1.1424377507213721e+42,0.9999354803146008,6.451968539923757e-05,3.805156558803611e-15,8.645251955457473e-17
1e-12,237137370566165.53,3.2399120553006996e-67,2.0315735293589956e+42,0.9999354803146008,6.451968539923758e-05,2.8534648690502418e-15,6.48302437961765e-17
1e-12,316227766016837.94,1.8219364386779826e-67,3.6127053772392076e+42,0.9999354803146008,6.451968539923758e-05,2.1397967818343706e-15,4.861582441236412e-17
1e-12,421696503428582.25,1.0245501513387619e-67,6.424399586881382e+42,0.9999354803146008,6.451968539923759e-05,1.6046212158458188e-15,3.6456725208755297e-17
1e-12,562341325190349.06,5.7614688982781225e-68,1.142437750721372e+43,0.9999354803146007,6.451968539923755e-05,1.2032961579347844e-15,2.7338687125270162e-17
1e-12,749894209332455.9,3.2399120553006996e-68,2.0315735293589955e+43,0.9999354803146008,6.451968539923754e-05,9.02344820947287e-16,2.0501123165991855e-17
1e-12,1000000000000000.0,1.8219364386779834e-68,3.612705377239206e+43,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-16,1.537367354698876e-17
1e-12,1333521432163324.0,1.0245501513387619e-68,6.424399586881382e+43,0.9999354803146009,6.451968539923758e-05,5.074257823901456e-16,1.1528628769054427e-17
1e-12,1778279410038922.8,5.761468898278123e-69,1.142437750721372e+44,0.9999354803146008,6.451968539923758e-05,3.805156558803611e-16,8.645251955457474e-18
1e-12,2371373705661655.5,3.2399120553006995e-69,2.0315735293589957e+44,0.9999354803146008,6.451968539923758e-05,2.853464869050242e-16,6.483024379617649e-18
1e-12,3162277660168379.5,1.8219364386779824e-69,3.612705377239208e+44,0.9999354803146008,6.451968539923758e-05,2.1397967818343705e-16,4.861582441236412e-18
1e-12,4216965034285822.5,1.0245501513387618e-69,6.424399586881383e+44,0.9999354803146008,6.451968539923758e-05,1.6046212158458188e-16,3.645672520875529e-18
1e-12,5623413251903491.0,5.76146889827812e-70,1.1424377507213724e+45,0.9999354803146008,6.451968539923758e-05,1.2032961579347842e-16,2.7338687125270162e-18
1e-12,7498942093324558.0,3.2399120553006995e-70,2.0315735293589955e+45,0.9999354803146008,6.451968539923758e-05,9.023448209472871e-17,2.050112316599186e-18
1e-12,1e+16,1.8219364386779822e-70,3.6127053772392086e+45,0.9999354803146008,6.451968539923759e-05,6.766631560495021e-17,1.5373673546988758e-18
1.5252229565390198e-12,100000000.0,6.464474427754866e-54,1.0181987170898272e+29,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-09,1.5373673546988758e-10
1.5252229565390198e-12,133352143.2163324,3.635241116362793e-54,1.810641813928887e+29,0.9999354803146008,6.451968539923759e-05,5.074257823901456e-09,1.1528628769054426e-10
1.5252229565390198e-12,177827941.00389227,2.044246306761898e-54,3.219827056665264e+29,0.9999354803146008,6.451968539923755e-05,3.805156558803611e-09,8.645251955457472e-11
1.5252229565390198e-12,237137370.56616554,1.1495641771599627e-54,5.7257521587540674e+29,0.9999354803146008,6.451968539923755e-05,2.853464869050242e-09,6.483024379617649e-11
1.5252229565390198e-12,316227766.01683795,6.464474427754863e-55,1.0181987170898278e+30,0.9999354803146007,6.451968539923759e-05,2.1397967818343703e-09,4.8615824412364117e-11
1.5252229565390198e-12,421696503.42858225,3.6352411163627934e-55,1.8106418139288867e+30,0.9999354803146008,6.451968539923759e-05,1.6046212158458188e-09,3.645672520875529e-11
1.5252229565390198e-12,562341325.1903491,2.0442463067618978e-55,3.219827056665265e+30,0.9999354803146008,6.451968539923755e-05,1.2032961579347844e-09,2.7338687125270162e-11
1.5252229565390198e-12,749894209.3324559,1.1495641771599626e-55,5.725752158754067e+30,0.9999354803146007,6.451968539923757e-05,9.02344820947287e-10,2.0501123165991858e-11
1.5252229565390198e-12,1000000000.0,6.464474427754865e-56,1.0181987170898274e+31,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-10,1.5373673546988756e-11
1.5252229565390198e-12,1333521432.163324,3.635241116362794e-56,1.8106418139288863e+31,0.9999354803146007,6.451968539923758e-05,5.074257823901456e-10,1.1528628769054427e-11
1.5252229565390198e-12,1778279410.0389228,2.0442463067618975e-56,3.219827056665265e+31,0.9999354803146007,6.451968539923757e-05,3.80515655880361e-10,8.645251955457472e-12
1.5252229565390198e-12,2371373705.6616554,1.1495641771599625e-56,5.725752158754068e+31,0.9999354803146008,6.451968539923755e-05,2.853464869050242e-10,6.483024379617649e-12
1.5252229565390198e-12,3162277660.1683793,6.464474427754867e-57,1.0181987170898272e+32,0.9999354803146009,6.451968539923757e-05,2.139796781834371e-10,4.861582441236412e-12
1.5252229565390198e-12,4216965034.2858224,3.6352411163627936e-57,1.8106418139288866e+32,0.9999354803146008,6.451968539923757e-05,1.604621215845819e-10,3.645672520875529e-12
1.5252229565390198e-12,5623413251.903491,2.0442463067618976e-57,3.219827056665265e+32,0.9999354803146008,6.451968539923758e-05,1.2032961579347843e-10,2.7338687125270163e-12
1.5252229565390198e-12,7498942093.324558,1.1495641771599622e-57,5.72575215875407e+32,0.9999354803146007,6.451968539923758e-05,9.02344820947287e-11,2.0501123165991858e-12
1.5252229565390198e-12,10000000000.0,6.464474427754866e-58,1.0181987170898273e+33,0.9999354803146008,6.451968539923757e-05,6.766631560495023e-11,1.5373673546988758e-12
1.5252229565390198e-12,13335214321.63324,3.635241116362795e-58,1.810641813928886e+33,0.9999354803146007,6.451968539923757e-05,5.074257823901457e-11,1.1528628769054427e-12
1.5252229565390198e-12,17782794100.38923,2.0442463067618975e-58,3.2198270566652654e+33,0.9999354803146007,6.451968539923759e-05,3.80515655880361e-11,8.645251955457473e-13
1.5252229565390198e-12,23713737056.616554,1.1495641771599622e-58,5.72575215875407e+33,0.9999354803146007,6.45196853992376e-05,2.8534648690502418e-11,6.48302437961765e-13
1.5252229565390198e-12,31622776601.683792,6.464474427754867e-59,1.018198717089827e+34,0.9999354803146008,6.451968539923755e-05,2.139796781834371e-11,4.861582441236412e-13
1.5252229565390198e-12,42169650342.85822,3.6352411163627938e-59,1.8106418139288865e+34,0.9999354803146008,6.451968539923758e-05,1.6046212158458188e-11,3.6456725208755295e-13
1.5252229565390198e-12,56234132519.034904,2.044246306761898e-59,3.2198270566652644e+34,0.9999354803146007,6.451968539923757e-05,1.2032961579347844e-11,2.7338687125270166e-13
1.5252229565390198e-12,74989420933.24559,1.1495641771599622e-59,5.7257521587540695e+34,0.9999354803146009,6.451968539923758e-05,9.02344820947287e-12,2.0501123165991856e-13
1.5252229565390198e-12,100000000000.0,6.464474427754865e-60,1.0181987170898274e+35,0.9999354803146008,6.451968539923757e-05,6.766631560495022e-12,1.5373673546988758e-13
1.5252229565390198e-12,133352143216.3324,3.6352411163627946e-60,1.810641813928886e+35,0.9999354803146008,6.451968539923758e-05,5.074257823901456e-12,1.1528628769054427e-13
1.5252229565390198e-12,177827941003.89227,2.044246306761898e-60,3.2198270566652645e+35,0.9999354803146007,6.451968539923757e-05,3.8051565588036105e-12,8.645251955457473e-14
1.5252229565390198e-12,237137370566.16553,1.1495641771599624e-60,5.7257521587540686e+35,0.9999354803146007,6.451968539923755e-05,2.853464869050242e-12,6.483024379617649e-14
1.5252229565390198e-12,316227766016.83795,6.464474427754863e-61,1.0181987170898276e+36,0.9999354803146008,6.451968539923759e-05,2.1397967818343706e-12,4.861582441236412e-14
1.5252229565390198e-12,421696503428.5823,3.635241116362795e-61,1.810641813928886e+36,0.9999354803146007,6.451968539923757e-05,1.604621215845819e-12,3.6456725208755295e-14
1.5252229565390198e-12,562341325190.3491,2.0442463067618967e-61,3.219827056665267e+36,0.9999354803146007,6.45196853992376e-05,1.203296157934784e-12,2.7338687125270162e-14
1.5252229565390198e-12,749894209332.4558,1.1495641771599625e-61,5.725752158754068e+36,0.9999354803146009,6.451968539923758e-05,9.023448209472871e-13,2.050112316599186e-14
1.5252229565390198e-12,1000000000000.0,6.464474427754867e-62,1.0181987170898271e+37,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-13,1.5373673546988758e-14
1.5252229565390198e-12,1333521432163.324,3.635241116362795e-62,1.810641813928886e+37,0.9999354803146008,6.451968539923757e-05,5.074257823901457e-13,1.1528628769054427e-14
1.5252229565390198e-12,1778279410038.9229,2.0442463067618976e-62,3.2198270566652653e+37,0.9999354803146009,6.451968539923759e-05,3.8051565588036103e-13,8.645251955457473e-15
1.5252229565390198e-12,2371373705661.6553,1.1495641771599628e-62,5.725752158754067e+37,0.9999354803146007,6.451968539923755e-05,2.853464869050242e-13,6.4830243796176496e-15
1.5252229565390198e-12,3162277660168.3794,6.464474427754865e-63,1.0181987170898273e+38,0.9999354803146008,6.451968539923757e-05,2.1397967818343708e-13,4.861582441236412e-15
1.5252229565390198e-12,4216965034285.8223,3.635241116362795e-63,1.8106418139288862e+38,0.9999354803146008,6.451968539923758e-05,1.604621215845819e-13,3.64567252087553e-15
1.5252229565390198e-12,5623413251903.491,2.0442463067618977e-63,3.219827056665265e+38,0.9999354803146008,6.451968539923757e-05,1.2032961579347843e-13,2.733868712527016e-15
1.5252229565390198e-12,7498942093324.559,1.1495641771599622e-63,5.72575215875407e+38,0.9999354803146007,6.451968539923755e-05,9.023448209472869e-14,2.0501123165991856e-15
1.5252229565390198e-12,10000000000000.0,6.464474427754865e-64,1.0181987170898274e+39,0.9999354803146008,6.451968539923759e-05,6.766631560495022e-14,1.537367354698876e-15
1.5252229565390198e-12,13335214321633.24,3.6352411163627944e-64,1.8106418139288862e+39,0.9999354803146009,6.451968539923757e-05,5.0742578239014564e-14,1.1528628769054427e-15
1.5252229565390198e-12,17782794100389.227,2.0442463067618975e-64,3.2198270566652655e+39,0.9999354803146008,6.451968539923759e-05,3.8051565588036106e-14,8.645251955457473e-16
1.5252229565390198e-12,23713737056616.55,1.1495641771599627e-64,5.725752158754067e+39,0.9999354803146007,6.451968539923759e-05,2.853464869050242e-14,6.48302437961765e-16
1.5252229565390198e-12,31622776601683.793,6.4644744277548656e-65,1.0181987170898273e+40,0.9999354803146008,6.451968539923757e-05,2.139796781834371e-14,4.861582441236412e-16
1.5252229565390198e-12,42169650342858.23,3.635241116362793e-65,1.810641813928887e+40,0.9999354803146008,6.451968539923759e-05,1.6046212158458186e-14,3.6456725208755293e-16
1.5252229565390198e-12,56234132519034.91,2.0442463067618983e-65,3.219827056665264e+40,0.9999354803146008,6.451968539923758e-05,1.2032961579347844e-14,2.7338687125270166e-16
1.5252229565390198e-12,74989420933245.58,1.1495641771599625e-65,5.725752158754068e+40,0.9999354803146008,6.451968539923757e-05,9.02344820947287e-15,2.0501123165991858e-16
1.5252229565390198e-12,100000000000000.0,6.464474427754866e-66,1.0181987170898273e+41,0.9999354803146008,6.451968539923755e-05,6.766631560495022e-15,1.5373673546988757e-16
1.5252229565390198e-12,133352143216332.4,3.635241116362794e-66,1.8106418139288864e+41,0.9999354803146008,6.451968539923757e-05,5.074257823901456e-15,1.1528628769054425e-16
1.5252229565390198e-12,177827941003892.28,2.044246306761898e-66,3.2198270566652645e+41,0.9999354803146008,6.451968539923757e-05,3.805156558803611e-15,8.645251955457473e-17
1.5252229565390198e-12,237137370566165.53,1.1495641771599626e-66,5.725752158754068e+41,0.9999354803146008,6.451968539923758e-05,2.8534648690502418e-15,6.48302437961765e-17
1.5252229565390198e-12,316227766016837.94,6.464474427754864e-67,1.0181987170898275e+42,0.9999354803146009,6.451968539923759e-05,2.1397967818343706e-15,4.861582441236412e-17
1.5252229565390198e-12,421696503428582.25,3.635241116362794e-67,1.8106418139288866e+42,0.9999354803146008,6.451968539923758e-05,1.6046212158458188e-15,3.6456725208755297e-17
1.5252229565390198e-12,562341325190349.06,2.044246306761898e-67,3.219827056665265e+42,0.9999354803146009,6.451968539923757e-05,1.2032961579347844e-15,2.7338687125270162e-17
1.5252229565390198e-12,749894209332455.9,1.1495641771599625e-67,5.725752158754068e+42,0.9999354803146007,6.451968539923754e-05,9.02344820947287e-16,2.0501123165991855e-17
1.5252229565390198e-12,1000000000000000.0,6.464474427754867e-68,1.0181987170898271e+43,0.9999354803146008,6.451968539923755e-05,6.766631560495023e-16,1.537367354698876e-17
1.5252229565390198e-12,1333521432163324.0,3.6352411163627933e-68,1.8106418139288868e+43,0.9999354803146008,6.451968539923759e-05,5.074257823901456e-16,1.1528628769054427e-17
1.5252229565390198e-12,1778279410038922.8,2.0442463067618985e-68,3.2198270566652637e+43,0.9999354803146007,6.451968539923757e-05,3.805156558803611e-16,8.645251955457474e-18
1.5252229565390198e-12,2371373705661655.5,1.1495641771599622e-68,5.725752158754069e+43,0.9999354803146009,6.451968539923758e-05,2.853464869050242e-16,6.483024379617649e-18
1.5252229565390198e-12,3162277660168379.5,6.464474427754863e-69,1.0181987170898277e+44,0.9999354803146008,6.451968539923758e-05,2.1397967818343705e-16,4.861582441236412e-18
1.5252229565390198e-12,4216965034285822.5,3.6352411163627936e-69,1.8106418139288865e+44,0.9999354803146008,6.451968539923757e-05,1.6046212158458188e-16,3.645672520875529e-18
1.5252229565390198e-12,5623413251903491.0,2.0442463067618973e-69,3.2198270566652656e+44,0.9999354803146008,6.451968539923758e-05,1.2032961579347842e-16,2.7338687125270162e-18
1.5252229565390198e-12,7498942093324558.0,1.1495641771599627e-69,5.7257521587540676e+44,0.9999354803146008,6.451968539923758e-05,9.023448209472871e-17,2.050112316599186e-18
1.5252229565390198e-12,1e+16,6.464474427754862e-70,1.0181987170898278e+45,0.9999354803146007,6.451968539923759e-05,6.766631560495021e-17,1.5373673546988758e-18
2.3263050671536284e-12,100000000.0,2.2936820813254854e-53,2.8696738848813295e+28,0.9999354803146009,6.451968539923757e-05,6.766631560495023e-09,1.5373673546988758e-10
2.3263050671536284e-12,133352143.2163324,1.289832221177931e-53,5.103081983010876e+28,0.9999354803146007,6.451968539923758e-05,5.074257823901456e-09,1.1528628769054426e-10
2.3263050671536284e-12,177827941.00389227,7.253259605304094e-54,9.074705618128835e+28,0.9999354803146008,6.451968539923755e-05,3.805156558803611e-09,8.645251955457472e-11
2.3263050671536284e-12,237137370.56616554,4.0788076183963325e-54,1.6137362152883043e+29,0.9999354803146008,6.451968539923757e-05,2.853464869050242e-09,6.483024379617649e-11
2.3263050671536284e-12,316227766.01683795,2.2936820813254843e-54,2.869673884881331e+29,0.9999354803146008,6.451968539923758e-05,2.1397967818343703e-09,4.8615824412364117e-11
2.3263050671536284e-12,421696503.42858225,1.2898322211779312e-54,5.103081983010876e+29,0.9999354803146008,6.451968539923758e-05,1.6046212158458188e-09,3.645672520875529e-11
2.3263050671536284e-12,562341325.1903491,7.253259605304093e-55,9.074705618128836e+29,0.9999354803146009,6.451968539923757e-05,1.2032961579347844e-09,2.7338687125270162e-11
2.3263050671536284e-12,749894209.3324559,4.078807618396332e-55,1.6137362152883044e+30,0.9999354803146007,6.451968539923757e-05,9.02344820947287e-10,2.0501123165991858e-11
2.3263050671536284e-12,1000000000.0,2.2936820813254857e-55,2.869673884881329e+30,0.9999354803146008,6.451968539923754e-05,6.766631560495023e-10,1.5373673546988756e-11
2.3263050671536284e-12,1333521432.163324,1.2898322211779314e-55,5.103081983010875e+30,0.9999354803146007,6.451968539923757e-05,5.074257823901456e-10,1.1528628769054427e-11
2.3263050671536284e-12,1778279410.0389228,7.253259605304092e-56,9.074705618128837e+30,0.9999354803146008,6.451968539923757e-05,3.80515655880361e-10,8.645251955457472e-12
2.3263050671536284e-12,2371373705.6616554,4.078807618396332e-56,1.6137362152883043e+31,0.9999354803146007,6.451968539923755e-05,2.853464869050242e-10,6.483024379617649e-12
2.3263050671536284e-12,3162277660.1683793,2.2936820813254856e-56,2.8696738848813296e+31,0.9999354803146008,6.451968539923757e-05,2.139796781834371e-10,4.861582441236412e-12
2.3263050671536284e-12,4216965034.2858224,1.2898322211779312e-56,5.103081983010876e+31,0.9999354803146007,6.451968539923755e-05,1.604621215845819e-10,3.645672520875529e-12
2.3263050671536284e-12,5623413251.903491,7.253259605304095e-57,9.074705618128833e+31,0.9999354803146007,6.451968539923757e-05,1.2032961579347843e-10,2.7338687125270163e-12
2.3263050671536284e-12,7498942093.324558,4.078807618396331e-57,1.6137362152883049e+32,0.9999354803146008,6.451968539923759e-05,9.02344820947287e-11,2.0501123165991858e-12
2.3263050671536284e-12,10000000000.0,2.2936820813254855e-57,2.8696738848813294e+32,0.9999354803146008,6.451968539923757e-05,6.766631560495023e-11,1.5373673546988758e-12
2.3263050671536284e-12,13335214321.63324,1.2898322211779317e-57,5.1030819830108734e+32,0.9999354803146007,6.451968539923755e-05,5.074257823901457e-11,1.1528628769054427e-12
2.3263050671536284e-12,17782794100.38923,7.25325960530409e-58,9.07470561812884e+32,0.9999354803146008,6.45196853992376e-05,3.80515655880361e-11,8.645251955457473e-13
2.3263050671536284e-12,23713737056.616554,4.078807618396332e-58,1.6137362152883044e+33,0.9999354803146008,6.451968539923759e-05,2.8534648690502418e-11,6.48302437961765e-13
2.3263050671536284e-12,31622776601.683792,2.2936820813254854e-58,2.8696738848813297e+33,0.9999354803146008,6.451968539923757e-05,2.139796781834371e-11,4.861582441236412e-13
2.3263050671536284e-12,42169650342.85822,1.289832221177931e-58,5.1030819830108763e+33,0.9999354803146008,6.451968539923759e-05,1.6046212158458188e-11,3.6456725208755295e-13
2.3263050671536284e-12,56234132519.034904,7.253259605304094e-59,9.074705618128835e+33,0.9999354803146008,6.451968539923757e-05,1.2032961579347844e-11,2.7338687125270166e-13
2.3263050671536284e-12,74989420933.24559,4.078807618396331e-59,1.6137362152883048e+34,0.9999354803146009,6.451968539923758e-05,9.02344820947287e-12,2.0501123165991856e-13
2.3263050671536284e-12,100000000000.0,2.2936820813254854e-59,2.8696738848813297e+34,0.9999354803146007,6.451968539923757e-05,6.766631560495022e-12,1.5373673546988758e-13
2.3263050671536284e-12,133352143216.3324,1.2898322211779313e-59,5.103081983010875e+34,0.9999354803146009,6.451968539923758e-05,5.074257823901456e-12,1.1528628769054427e-13
2.3263050671536284e-12,177827941003.89227,7.253259605304094e-60,9.074705618128836e+34,0.9999354803146008,6.451968539923757e-05,3.8051565588036105e-12,8.645251955457473e-14
2.3263050671536284e-12,237137370566.16553,4.0788076183963325e-60,1.6137362152883043e+35,0.9999354803146008,6.451968539923757e-05,2.853464869050242e-12,6.483024379617649e-14
2.3263050671536284e-12,316227766016.83795,2.2936820813254844e-60,2.869673884881331e+35,0.9999354803146008,6.451968539923759e-05,2.1397967818343706e-12,4.861582441236412e-14
2.3263050671536284e-12,421696503428.5823,1.2898322211779312e-60,5.1030819830108755e+35,0.9999354803146008,6.451968539923758e-05,1.604621215845819e-12,3.6456725208755295e-14
2.3263050671536284e-12,562341325190.3491,7.25325960530409e-61,9.07470561812884e+35,0.9999354803146008,6.451968539923759e-05,1.203296157934784e-12,2.7338687125270162e-14
2.3263050671536284e-12,749894209332.4558,4.078807618396333e-61,1.613736215288304e+36,0.9999354803146008,6.451968539923757e-05,9.023448209472871e-13,2.050112316599186e-14
2.3263050671536284e-12,1000000000000.0,2.2936820813254855e-61,2.86967388488133e+36,0.9999354803146008,6.451968539923757e-05,6.766631560495023e-13,1.5373673546988758e-14
2.3263050671536284e-12,1333521432163.324,1.2898322211779315e-61,5.1030819830108746e+36,0.9999354803146008,6.451968539923757e-05,5.074257823901457e-13,1.1528628769054427e-14
2.3263050671536284e-12,1778279410038.9229,7.253259605304093e-62,9.074705618128836e+36,0.9999354803146008,6.451968539923758e-05,3.8051565588036103e-13,8.645251955457473e-15
