z,H_GeV,E,DL_GeV^-1,DA_GeV^-1,chi_GeV^-1
3.000000000001,6.56782438485141e-42,5.519517662502644,4.068512639330133e+42,2.542820399580062e+41,1.017128159832279e+42
3.0903455329335032,6.784450114035933e-42,5.701567222345366,4.2157653500876354e+42,2.5197440979940996e+41,1.0306624015365724e+42
3.1834118376396248,7.010353500606335e-42,5.891413609692505,4.3681388005134266e+42,2.4959460163281395e+41,1.0441570110816603e+42
3.2792808506446565,7.24593724255344e-42,6.089395246910859,4.5258018928435614e+42,2.471462123854724e+41,1.0576080539705094e+42
3.378036976006905,7.49162208908406e-42,6.295865726383902,4.6889289095903156e+42,2.44632862934388e+41,1.0710117194731797e+42
3.4797671596278863,7.747847672602031e-42,6.511194509698269,4.857699679665075e+42,2.420581881961868e+41,1.0843643222003042e+42
3.584560965800386,8.015073378377317e-42,6.735767658502825,5.032299749232539e+42,2.3942582756885364e+41,1.0976623032766203e+42
3.692510656061778,8.293779253595961e-42,6.969988598462895,5.212920557449697e+42,2.367394157541649e+41,1.1109022311362583e+42
3.803711270422024,8.584466957565931e-42,7.214278917801403,5.399759617249252e+42,2.340025739854913e+41,1.124080801961868e+42
3.9182607110378678,8.88766075493988e-42,7.469079201990886,5.59302070133336e+42,2.312189016815789e+41,1.1371948397898373e+42
4.036259828406897,9.203908553905674e-42,7.734849906235862,5.792914033549618e+42,2.2839196854298815e+41,1.1502412963038228e+42
4.157812510157348,9.533782991389349e-42,8.012072267463852,5.999656485827357e+42,2.255253071041026e+41,1.1632172503386183e+42
4.283025772511838,9.877882567413071e-42,8.301249257625651,6.213471780858232e+42,2.22622405750037e+41,1.1761199071160331e+42
4.412009854505538,1.0236832830853024e-41,8.602906580191473,6.434590700711172e+42,2.196867022043912e+41,1.1889465972339885e+42
4.544878315041746,1.0611287618948911e-41,8.917593711819261,6.663251301577697e+42,2.1672157749063222e+41,1.201694775429446e+42
4.681748132870308,1.1001930353028357e-41,9.24588499126531,6.89969913484961e+42,2.1373035036694813e+41,1.2143620191351243e+42
4.822739809576902,1.1409475393025935e-41,9.588380757705155,7.144187474737128e+42,2.1071627223170865e+41,1.2269460268492139e+42
4.9679774756738615,1.183466945349831e-41,9.945708540735026,7.396977552641491e+42,2.0768252249419818e+41,1.2394446163365049e+42
5.117588999885954,1.2278293083964043e-41,10.318524304430962,7.658338798502352e+42,2.0463220440305004e+41,1.251855722678513e+42
5.271706101727307,1.2741162216529497e-41,10.70751374795429,7.9285490893463e+42,2.015683413228101e+41,1.2641773961893204e+42
5.430464467468615,1.3224129783901e-41,11.11339366530888,8.207895005269303e+42,1.9849387344728425e+41,1.2764078002129733e+42
5.594003869596718,1.3728087411028637e-41,11.536913366977464,8.496672093092186e+42,1.9541165493677467e+41,1.2885452088173909e+42
5.7624682898717285,1.42539671837785e-41,11.97885616629173,8.79518513793486e+42,1.9232445146497424e+41,1.3005880043988626e+42
5.936006046090041,1.4802743498188995e-41,12.44004093352426,9.103748442961687e+42,1.8923493816015806e+41,1.3125346752103313e+42
6.114769922664837,1.5375434994032463e-41,12.921323720829573,9.422686117557249e+42,1.861456979243767e+41,1.3243838128258098e+42
6.2989173051390415,1.597310657657684e-41,13.423599461307402,9.752332374198836e+42,1.8305922011360363e+41,1.3361341095524383e+42
6.488610318749163,1.6596871530623453e-41,13.947803745613694,1.0093031834299187e+43,1.799778995612108e+41,1.3477843558008834e+42
6.684015971162008,1.7247893731086883e-41,14.49491467970432,1.0445139843300511e+43,1.769040359267276e+41,1.3593334374239925e+42
6.885306299509939,1.7927389954581242e-41,15.065954827463356,1.0809022795308438e+43,1.7383983335156733e+41,1.370780333032872e+42
7.092658521854119,1.8636632296685172e-41,15.661993242142428,1.1185058467562542e+43,1.7078740040326965e+41,1.3821241112988318e+42
7.306255193209105,1.9376950699775178e-41,16.28414759072029,1.157363636504816e+43,1.6774875028979654e+41,1.3933639282489599e+42
7.526284366266147,2.0149735596544645e-41,16.93358637548324,1.1975158075562738e+43,1.6472580132551882e+41,1.4044990245624344e+42
7.752939756956699,2.0956440674564082e-41,17.61153125732703,1.2390037635558563e+43,1.6172037763072998e+41,1.415528722874067e+42
7.9864209150019025,2.1798585767487653e-41,18.319259485490782,1.2818701907092838e+43,1.5873421004681328e+41,1.426452425090988e+42
8.2269333995982,2.2677759878772203e-41,19.05810643865272,1.326159096622522e+43,1.5576893724955481e+41,1.4372696097278335e+42
8.474688960393756,2.3595624344048575e-41,19.82946828254756,1.3719158503212638e+43,1.5282610704352975e+41,1.4479798292652858e+42
