z,H_km_s_Mpc,D_C_Mpc,D_M_Mpc,D_A_Mpc,D_L_Mpc,mu_mag
1.6452,172.097745861,4743.99026706,4743.99026706,1793.43348974,12548.8030544,45.4930115169
1.6464,172.202593131,4746.08001802,4746.08001802,1793.40992217,12560.0261597,45.4949527197
1.6476,172.307471693,4748.16849682,4748.16849682,1793.38589546,12571.2509122,45.4968924732
1.6488,172.412381533,4750.25570462,4750.25570462,1793.36141068,12582.4773104,45.4988307796
1.65,172.517322638,4752.34164259,4752.34164259,1793.3364689,12593.7053529,45.5007676408
1.6512,172.622294992,4754.42631189,4754.42631189,1793.31107117,12604.9350381,45.502703059
1.6524,172.727298583,4756.50971369,4756.50971369,1793.28521855,12616.1663646,45.5046370362
1.6536,172.832333397,4758.59184916,4758.59184916,1793.2589121,12627.3993309,45.5065695744
1.6548,172.937399419,4760.67271945,4760.67271945,1793.23215287,12638.6339356,45.5085006758
1.656,173.042496635,4762.75232573,4762.75232573,1793.20494192,12649.8701772,45.5104303423
1.6572,173.147625033,4764.83066917,4764.83066917,1793.17728028,12661.1080541,45.5123585761
1.6584,173.252784598,4766.90775091,4766.90775091,1793.14916901,12672.347565,45.5142853791
1.6596,173.357975316,4768.98357211,4768.98357211,1793.12060916,12683.5887084,45.5162107534
1.6608,173.463197174,4771.05813394,4771.05813394,1793.09160175,12694.8314828,45.5181347011
1.662,173.568450157,4773.13143754,4773.13143754,1793.06214784,12706.0758867,45.5200572241
1.6632,173.673734253,4775.20348408,4775.20348408,1793.03224845,12717.3219188,45.5219783245
1.6644,173.779049446,4777.2742747,4777.2742747,1793.00190463,12728.5695775,45.5238980043
1.6656,173.884395725,4779.34381056,4779.34381056,1792.97111741,12739.8188614,45.5258162656
1.6668,173.989773074,4781.4120928,4781.4120928,1792.9398878,12751.0697691,45.5277331102
1.668,174.095181481,4783.47912257,4783.47912257,1792.90821686,12762.322299,45.5296485404
1.6692,174.200620931,4785.54490103,4785.54490103,1792.87610558,12773.5764498,45.531562558
1.6704,174.306091411,4787.60942931,4787.60942931,1792.84355501,12784.83222,45.533475165
1.6716,174.411592907,4789.67270857,4789.67270857,1792.81056617,12796.0896082,45.5353863635
1.6728,174.517125406,4791.73473995,4791.73473995,1792.77714006,12807.3486129,45.5372961554
1.674,174.622688894,4793.79552458,4793.79552458,1792.7432777,12818.6092327,45.5392045427
1.6752,174.728283358,4795.85506362,4795.85506362,1792.70898012,12829.8714662,45.5411115275
1.6764,174.833908783,4797.9133582,4797.9133582,1792.67424832,12841.1353119,45.5430171116
1.6776,174.939565157,4799.97040946,4799.97040946,1792.6390833,12852.4007684,45.5449212971
1.6788,175.045252466,4802.02621853,4802.02621853,1792.60348609,12863.6678342,45.546824086
1.68,175.150970696,4804.08078656,4804.08078656,1792.56745767,12874.936508,45.5487254801
1.6812,175.256719834,4806.13411468,4806.13411468,1792.53099906,12886.2067883,45.5506254815
1.6824,175.362499867,4808.18620403,4808.18620403,1792.49411125,12897.4786737,45.5525240921
1.6836,175.46831078,4810.23705573,4810.23705573,1792.45679525,12908.7521628,45.554421314
1.6848,175.574152561,4812.28667092,4812.28667092,1792.41905204,12920.0272541,45.5563171489
1.686,175.680025196,4814.33505072,4814.33505072,1792.38088262,12931.3039462,45.5582115989
1.6872,175.785928671,4816.38219628,4816.38219628,1792.34228799,12942.5822378,45.560104666
1.6884,175.891862974,4818.4281087,4818.4281087,1792.30326912,12953.8621274,45.561996352
1.6896,175.99782809,4820.47278913,4820.47278913,1792.26382701,12965.1436137,45.5638866589
1.6908,176.103824007,4822.51623869,4822.51623869,1792.22396265,12976.4266951,45.5657755886
1.692,176.209850711,4824.55845849,4824.55845849,1792.183677,12987.7113703,45.567663143
1.6932,176.315908189,4826.59944967,4826.59944967,1792.14297107,12998.9976379,45.5695493242
1.6944,176.421996427,4828.63921335,4828.63921335,1792.10184581,13010.2854964,45.5714341339
1.6956,176.528115413,4830.67775064,4830.67775064,1792.06030221,13021.5749446,45.5733175742
1.6968,176.634265132,4832.71506266,4832.71506266,1792.01834124,13032.865981,45.5751996468
1.698,176.740445572,4834.75115054,4834.75115054,1791.97596388,13044.1586041,45.5770803538
1.6992,176.846656719,4836.78601538,4836.78601538,1791.93317108,13055.4528127,45.578959697
1.7004,176.952898561,4838.81965831,4838.81965831,1791.88996382,13066.7486053,45.5808376784
1.7016,177.059171083,4840.85208044,4840.85208044,1791.84634307,13078.0459805,45.5827142997
1.7028,177.165474273,4842.88328288,4842.88328288,1791.80230978,13089.344937,45.584589563
1.704,177.271808117,4844.91326674,4844.91326674,1791.75786492,13100.6454733,45.5864634701
1.7052,177.378172603,4846.94203314,4846.94203314,1791.71300944,13111.9475881,45.5883360229
1.7064,177.484567717,4848.96958318,4848.96958318,1791.6677443,13123.2512799,45.5902072232
1.7076,177.590993445,4850.99591798,4850.99591798,1791.62207046,13134.5565475,45.592077073
1.7088,177.697449776,4853.02103863,4853.02103863,1791.57598886,13145.8633894,45.5939455741
1.71,177.803936695,4855.04494624,4855.04494624,1791.52950046,13157.1718043,45.5958127284
1.7112,177.91045419,4857.06764193,4857.06764193,1791.4826062,13168.4817908,45.5976785377
1.7124,178.017002248,4859.08912679,4859.08912679,1791.43530703,13179.7933475,45.599543004
1.7136,178.123580855,4861.10940192,4861.10940192,1791.38760389,13191.1064731,45.601406129
1.7148,178.230189999,4863.12846843,4863.12846843,1791.33949773,13202.4211661,45.6032679146
1.716,178.336829666,4865.14632741,4865.14632741,1791.29098947,13213.7374252,45.6051283627
1.7172,178.443499843,4867.16297997,4867.16297997,1791.24208007,13225.0552492,45.6069874751
1.7184,178.550200518,4869.17842719,4869.17842719,1791.19277045,13236.3746365,45.6088452537
1.7196,178.656931677,4871.19267019,4871.19267019,1791.14306155,13247.6955858,45.6107017003
1.7208,178.763693308,4873.20571004,4873.20571004,1791.09295429,13259.0180959,45.6125568167
1.722,178.870485397,4875.21754786,4875.21754786,1791.04244962,13270.3421653,45.6144106047
1.7232,178.977307932,4877.22818471,4877.22818471,1790.99154844,13281.6677926,45.6162630663
1.7244,179.084160899,4879.23762171,4879.23762171,1790.94025169,13292.9949766,45.6181142032
1.7256,179.191044286,4881.24585994,4881.24585994,1790.8885603,13304.3237159,45.6199640172
1.7268,179.29795808,4883.25290049,4883.25290049,1790.83647517,13315.6540091,45.6218125101
1.728,179.404902267,4885.25874444,4885.25874444,1790.78399723,13326.9858548,45.6236596838
1.7292,179.511876836,4887.26339289,4887.26339289,1790.73112739,13338.3192519,45.6255055401
1.7304,179.618881773,4889.26684691,4889.26684691,1790.67786658,13349.6541988,45.6273500808
1.7316,179.725917065,4891.26910759,4891.26910759,1790.6242157,13360.9906943,45.6291933076
1.7328,179.8329827,4893.27017602,4893.27017602,1790.57017565,13372.328737,45.6310352224
1.734,179.940078664,4895.27005328,4895.27005328,1790.51574736,13383.6683257,45.632875827
1.7352,180.047204946,4897.26874044,4897.26874044,1790.46093172,13395.0094589,45.6347151231
1.7364,180.154361531,4899.26623859,4899.26623859,1790.40572964,13406.3521353,45.6365531126
1.7376,180.261548408,4901.26254881,4901.26254881,1790.35014203,13417.6963536,45.6383897972
1.7388,180.368765564,4903.25767217,4903.25767217,1790.29416977,13429.0421125,45.6402251787
1.74,180.476012986,4905.25160974,4905.25160974,1790.23781377,13440.3894107,45.6420592589
1.7412,180.583290661,4907.24436261,4907.24436261,1790.18107493,13451.7382468,45.6438920396
1.7424,180.690598576,4909.23593184,4909.23593184,1790.12395414,13463.0886195,45.6457235225
1.7436,180.79793672,4911.22631851,4911.22631851,1790.06645229,13474.4405275,45.6475537094
1.7448,180.905305078,4913.2155237,4913.2155237,1790.00857028,13485.7939694,45.6493826021
1.746,181.012703639,4915.20354846,4915.20354846,1789.95030898,13497.1489441,45.6512102022
1.7472,181.12013239,4917.19039386,4917.19039386,1789.89166929,13508.50545,45.6530365117
1.7484,181.227591318,4919.17606099,4919.17606099,1789.83265208,13519.863486,45.6548615322
1.7496,181.335080411,4921.1605509,4921.1605509,1789.77325825,13531.2230507,45.6566852654
1.7508,181.442599656,4923.14386465,4923.14386465,1789.71348868,13542.5841429,45.6585077131
1.752,181.55014904,4925.12600331,4925.12600331,1789.65334423,13553.9467611,45.6603288772
1.7532,181.657728551,4927.10696795,4927.10696795,1789.59282579,13565.3109042,45.6621487592
1.7544,181.765338177,4929.08675963,4929.08675963,1789.53193423,13576.6765707,45.6639673609
1.7556,181.872977904,4931.0653794,4931.0653794,1789.47067042,13588.0437595,45.6657846841
1.7568,181.980647721,4933.04282833,4933.04282833,1789.40903523,13599.4124691,45.6676007305
1.758,182.088347614,4935.01910747,4935.01910747,1789.34702954,13610.7826984,45.6694155018
